web-scraper-order,web-scraper-start-url,page,page-href,item,item-href,name,price,buylink,buylink-href,image-src,info-label,info
"1616031180-192006","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Team T-FORCE DARK Z 16 GB         (0)","https://pcpartpicker.com/product/VH2bt6/team-t-force-dark-z-16-gb-1-x-16-gb-ddr4-2666-memory-tdzrd416g2666hc15b01","Team T-FORCE DARK Z 16 GB (1 x 16 GB) DDR4-2666 CL15 Memory","","","","//cdna.pcpartpicker.com/static/forever/images/product/b91b2bacda6ff00dfd9010ed10e4ec82.256p.jpg","","288-pin DIMM"
"1616031606-194966","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Panram Ninja-V 16 GB         (0)","https://pcpartpicker.com/product/66rcCJ/panram-memory-pud43000c168g2njk","Panram Ninja-V 16 GB (2 x 8 GB) DDR4-3000 CL16 Memory","","","","/static/forever/img/no-image.png","Heat Spreader",""
"1616030941-189366","https://pcpartpicker.com/products/memory/","","","G.Skill Ripjaws V Series 16 GB         (72)","https://pcpartpicker.com/product/qGqbt6/gskill-memory-f43200c16d16gvgb","G.Skill Ripjaws V Series 16 GB (2 x 8 GB) DDR4-3200 CL16 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/515YvBSBNkL.jpg","Part #",""
"1616031423-193564","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","G.Skill Trident Z 16 GB         (0)","https://pcpartpicker.com/product/CYzZxr/gskill-tridentz-series-16gb-2-x-8gb-ddr4-3333-memory-f4-3333c16d-16gtzsk","G.Skill Trident Z 16 GB (2 x 8 GB) DDR4-3333 CL16 Memory","","","","https://images-eu.ssl-images-amazon.com/images/I/51ymoaefo%2BL.jpg","","G.Skill"
"1616030916-189074","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance LPX 32 GB         (1)","https://pcpartpicker.com/product/mtXnTW/corsair-vengeance-lpx-32-gb-4-x-8-gb-ddr4-3600-memory-cmk32gx4m4d3600c18","Corsair Vengeance LPX 32 GB (4 x 8 GB) DDR4-3600 CL18 Memory","","","","","","18-22-22-42"
"1616030876-188549","https://pcpartpicker.com/products/memory/","","","G.Skill Aegis 8 GB         (4)","https://pcpartpicker.com/product/88rcCJ/gskill-memory-f42400c15s8gis","G.Skill Aegis 8 GB (1 x 8 GB) DDR4-2400 CL15 Memory","","","","","Heat Spreader",""
"1616031716-195927","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Crucial CT2K25664BA160BA 4 GB         (0)","https://pcpartpicker.com/product/dvfmP6/crucial-memory-ct2k25664ba160ba","Crucial 4 GB (2 x 2 GB) DDR3-1600 CL11 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41osMcw-GqL.jpg","","CT2K25664BA160BA"
"1616031698-195768","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","Mushkin Essentials 8 GB         (0)","https://pcpartpicker.com/product/yQDzK8/mushkin-memory-mes4s213ff8g28","Mushkin Essentials 8 GB (1 x 8 GB) DDR4-2133 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41PBGsHTx9L.jpg","","MES4S213FF8G28"
"1616031123-191475","https://pcpartpicker.com/products/memory/","77","https://pcpartpicker.com/products/memory/#page=77","Apacer AS 8 GB         (0)","https://pcpartpicker.com/product/XdXJ7P/apacer-as-8-gb-1-x-8-gb-ddr4-2666-cl19-memory-as08ggb26cqybgh","Apacer AS 8 GB (1 x 8 GB) DDR4-2666 CL19 Memory","","","","/static/forever/img/no-image.png","Form Factor",""
"1616031506-194307","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","G.Skill Trident Z 32 GB         (0)","https://pcpartpicker.com/product/zLs8TW/gskill-memory-f43333c16q32gtz","G.Skill Trident Z 32 GB (4 x 8 GB) DDR4-3333 CL16 Memory","","","","","","Red / Silver"
"1616031012-190274","https://pcpartpicker.com/products/memory/","","","Corsair Vengeance LPX 32 GB         (20)","https://pcpartpicker.com/product/Yg3mP6/corsair-vengeance-lpx-32-gb-2-x-16-gb-ddr4-3600-memory-cmk32gx4m2d3600c18","Corsair Vengeance LPX 32 GB (2 x 16 GB) DDR4-3600 CL18 Memory","","","","","Color",""
"1616031437-193688","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Crucial CT7982449 16 GB         (0)","https://pcpartpicker.com/product/VYNypg/crucial-16-gb-1-x-16-gb-ddr4-2133-memory-ct7982449","Crucial 16 GB (1 x 16 GB) DDR4-2133 CL15 Memory","","","","/static/forever/img/no-image.png","Voltage",""
"1616031627-195153","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","GeIL SUPER LUCE 16 GB         (0)","https://pcpartpicker.com/product/dFgPxr/geil-memory-glwr416gb2800c16dc","GeIL SUPER LUCE 16 GB (2 x 8 GB) DDR4-2800 CL16 Memory","","","","/static/forever/img/no-image.png","","16"
"1616031364-193001","https://pcpartpicker.com/products/memory/","75","https://pcpartpicker.com/products/memory/#page=75","Patriot Viper Elite 8 GB         (0)","https://pcpartpicker.com/product/fpfmP6/patriot-viper-elite-8gb-2-x-4gb-ddr4-2400-memory-pve48g240c5kbl","Patriot Viper Elite 8 GB (2 x 4 GB) DDR4-2400 CL15 Memory","","","","","","Non-ECC / Unbuffered"
"1616031675-195558","https://pcpartpicker.com/products/memory/","74","https://pcpartpicker.com/products/memory/#page=74","GeIL SUPER LUCE 16 GB         (0)","https://pcpartpicker.com/product/mrDzK8/geil-memory-glb416gb2400c15dc","GeIL SUPER LUCE 16 GB (2 x 8 GB) DDR4-2400 CL15 Memory","","","","https://images-na.ssl-images-amazon.com/images/I/41nezdK5PkL.jpg","Part #",""
